[09/24/2020 11:33:15 / FxUtilitiesController.php:340]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200908_103526).(tickets-data).log
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200908_103526).(tickets-data).log

combined file(this)	[ea-4_tester-1].(20200507_140530).(combined-data).(20200924_113315_349060).dat
dpath	C:\Users\iwabuchiken\AppData\Roaming\MetaQuotes\Terminal\34B08C83A5AAE27A4079DE708E60511E\MQL4\Files\Logs\20200908_103526[eap-2.id-1].[AUDJPY-5].dir
order_type	buy
account : 	20117921

s.n.	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	ticket	open-time	type	size	item	price	SL	TP	close-time	price	profit
11	28366198	2020.09.08 05:30:00	77.364	77.34	77.33799999999999	77.366	77.352	77.35899999999999	77.36499999999999	77.349	77.367	77.36199999999999	77.36199999999999	77.33799999999999	-1	-1	-1	1	-1	1	1	-1	1	-1	1	-1	-0.008	-0.024	-0.004	0.027	-0.013	0.006	0.005	-0.016	0.017	-0.005	0	-0.021	-1	-3	-1	3	-2	1	1	-2	2	-1	-1	-3	45.06996	41.52346	35.44638	36.92514	37.69459	37.87999	42.32776	43.19422	48.21584	47.27691	47.93505	48.84189	51.05297	47.81113	47.54629	51.50501	49.53731	50.53199	51.39637	48.99331	51.6693	50.88866	50.88866	47.10364	-0.204	-0.7825	-0.57375	-0.7634	-0.8608	-0.81125	-0.3497	-0.27565	0.1352	-0.2726	0.2068	-0.196	3	4	4	3	3	3	3	3	3	3	3	4	28366198	2020.09.08 05:30:02	buy	0.10	audjpy	77.346	77.573	77.723	2020.09.08 09:10:31	77.573	2270
12	28366337	2020.09.08 05:35:00	77.34	77.33799999999999	77.366	77.352	77.35899999999999	77.36499999999999	77.349	77.367	77.36199999999999	77.36199999999999	77.33799999999999	77.318	-1	-1	1	-1	1	1	-1	1	-1	1	-1	-1	-0.024	-0.004	0.027	-0.013	0.006	0.005	-0.016	0.017	-0.005	0	-0.021	-0.019	-3	-1	3	-2	1	1	-2	2	-1	-1	-3	-2	41.52346	35.44638	36.92514	37.69459	37.87999	42.32776	43.19422	48.21584	47.27691	47.93505	48.84189	50.74172	47.81113	47.54629	51.50501	49.53731	50.53199	51.39637	48.99331	51.6693	50.88866	50.88866	47.10364	44.21863	-0.7825	-0.57375	-0.7634	-0.8608	-0.81125	-0.3497	-0.27565	0.1352	-0.2726	0.2068	-0.196	-0.2314	4	4	3	3	3	3	3	3	3	3	4	4	28366337	2020.09.08 05:35:00	buy	0.10	audjpy	77.326	77.573	77.723	2020.09.08 09:10:31	77.573	2470
13	28366357	2020.09.08 05:40:00	77.33799999999999	77.366	77.352	77.35899999999999	77.36499999999999	77.349	77.367	77.36199999999999	77.36199999999999	77.33799999999999	77.318	77.331	-1	1	-1	1	1	-1	1	-1	1	-1	-1	1	-0.004	0.027	-0.013	0.006	0.005	-0.016	0.017	-0.005	0	-0.021	-0.019	0.013	-1	3	-2	1	1	-2	2	-1	-1	-3	-2	2	35.44638	36.92514	37.69459	37.87999	42.32776	43.19422	48.21584	47.27691	47.93505	48.84189	50.74172	49.23468	47.54629	51.50501	49.53731	50.53199	51.39637	48.99331	51.6693	50.88866	50.88866	47.10364	44.21863	46.46222	-0.57375	-0.7634	-0.8608	-0.81125	-0.3497	-0.27565	0.1352	-0.2726	0.2068	-0.196	-0.2314	-0.14	4	3	3	3	3	3	3	3	3	4	4	4	28366357	2020.09.08 05:40:00	buy	0.10	audjpy	77.339	77.573	77.723	2020.09.08 09:10:31	77.573	2340
14	28366385	2020.09.08 05:45:00	77.366	77.352	77.35899999999999	77.36499999999999	77.349	77.367	77.36199999999999	77.36199999999999	77.33799999999999	77.318	77.331	77.33499999999999	1	-1	1	1	-1	1	-1	1	-1	-1	1	1	0.027	-0.013	0.006	0.005	-0.016	0.017	-0.005	0	-0.021	-0.019	0.013	0.004	3	-2	1	1	-2	2	-1	-1	-3	-2	2	1	36.92514	37.69459	37.87999	42.32776	43.19422	48.21584	47.27691	47.93505	48.84189	50.74172	49.23468	54.84595	51.50501	49.53731	50.53199	51.39637	48.99331	51.6693	50.88866	50.88866	47.10364	44.21863	46.46222	47.15069	-0.7634	-0.8608	-0.81125	-0.3497	-0.27565	0.1352	-0.2726	0.2068	-0.196	-0.2314	-0.14	0.21125	3	3	3	3	3	3	3	3	4	4	4	4	28366385	2020.09.08 05:45:01	buy	0.10	audjpy	77.342	77.573	77.723	2020.09.08 09:10:31	77.573	2310
15	28366408	2020.09.08 05:50:00	77.352	77.35899999999999	77.36499999999999	77.349	77.367	77.36199999999999	77.36199999999999	77.33799999999999	77.318	77.331	77.33499999999999	77.343	-1	1	1	-1	1	-1	1	-1	-1	1	1	1	-0.013	0.006	0.005	-0.016	0.017	-0.005	0	-0.021	-0.019	0.013	0.004	0.007	-2	1	1	-2	2	-1	-1	-3	-2	2	1	1	37.69459	37.87999	42.32776	43.19422	48.21584	47.27691	47.93505	48.84189	50.74172	49.23468	54.84595	60.83615	49.53731	50.53199	51.39637	48.99331	51.6693	50.88866	50.88866	47.10364	44.21863	46.46222	47.15069	48.54375	-0.8608	-0.81125	-0.3497	-0.27565	0.1352	-0.2726	0.2068	-0.196	-0.2314	-0.14	0.21125	0.5429	3	3	3	3	3	3	3	4	4	4	4	4	28366408	2020.09.08 05:50:02	buy	0.10	audjpy	77.351	77.573	77.723	2020.09.08 09:10:31	77.573	2220
16	28366445	2020.09.08 05:55:00	77.35899999999999	77.36499999999999	77.349	77.367	77.36199999999999	77.36199999999999	77.33799999999999	77.318	77.331	77.33499999999999	77.343	77.343	1	1	-1	1	-1	1	-1	-1	1	1	1	1	0.006	0.005	-0.016	0.017	-0.005	0	-0.021	-0.019	0.013	0.004	0.007	0.001	1	1	-2	2	-1	-1	-3	-2	2	1	1	1	37.87999	42.32776	43.19422	48.21584	47.27691	47.93505	48.84189	50.74172	49.23468	54.84595	60.83615	56.62788	50.53199	51.39637	48.99331	51.6693	50.88866	50.88866	47.10364	44.21863	46.46222	47.15069	48.54375	48.54375	-0.81125	-0.3497	-0.27565	0.1352	-0.2726	0.2068	-0.196	-0.2314	-0.14	0.21125	0.5429	0.18135	3	3	3	3	3	3	4	4	4	4	4	4	28366445	2020.09.08 05:55:02	buy	0.10	audjpy	77.352	77.573	77.723	2020.09.08 09:10:31	77.573	2210
17	28366476	2020.09.08 06:00:00	77.36499999999999	77.349	77.367	77.36199999999999	77.36199999999999	77.33799999999999	77.318	77.331	77.33499999999999	77.343	77.343	77.342	1	-1	1	-1	1	-1	-1	1	1	1	1	-1	0.005	-0.016	0.017	-0.005	0	-0.021	-0.019	0.013	0.004	0.007	0.001	-0.003	1	-2	2	-1	-1	-3	-2	2	1	1	1	-1	42.32776	43.19422	48.21584	47.27691	47.93505	48.84189	50.74172	49.23468	54.84595	60.83615	56.62788	51.87083	51.39637	48.99331	51.6693	50.88866	50.88866	47.10364	44.21863	46.46222	47.15069	48.54375	48.54375	48.36717	-0.3497	-0.27565	0.1352	-0.2726	0.2068	-0.196	-0.2314	-0.14	0.21125	0.5429	0.18135	0.126	3	3	3	3	3	4	4	4	4	4	4	4	28366476	2020.09.08 06:00:01	buy	0.10	audjpy	77.346	77.573	77.723	2020.09.08 09:10:31	77.573	2270
18	28366623	2020.09.08 06:05:00	77.349	77.367	77.36199999999999	77.36199999999999	77.33799999999999	77.318	77.331	77.33499999999999	77.343	77.343	77.342	77.331	-1	1	-1	1	-1	-1	1	1	1	1	-1	-1	-0.016	0.017	-0.005	0	-0.021	-0.019	0.013	0.004	0.007	0.001	-0.003	-0.012	-2	2	-1	-1	-3	-2	2	1	1	1	-1	-2	43.19422	48.21584	47.27691	47.93505	48.84189	50.74172	49.23468	54.84595	60.83615	56.62788	51.87083	51.84548	48.99331	51.6693	50.88866	50.88866	47.10364	44.21863	46.46222	47.15069	48.54375	48.54375	48.36717	46.41232	-0.27565	0.1352	-0.2726	0.2068	-0.196	-0.2314	-0.14	0.21125	0.5429	0.18135	0.126	0.255	3	3	3	3	4	4	4	4	4	4	4	5	28366623	2020.09.08 06:05:01	buy	0.10	audjpy	77.339	77.573	77.723	2020.09.08 09:10:31	77.573	2340
19	28366650	2020.09.08 06:10:00	77.367	77.36199999999999	77.36199999999999	77.33799999999999	77.318	77.331	77.33499999999999	77.343	77.343	77.342	77.331	77.34399999999999	1	-1	1	-1	-1	1	1	1	1	-1	-1	1	0.017	-0.005	0	-0.021	-0.019	0.013	0.004	0.007	0.001	-0.003	-0.012	0.014	2	-1	-1	-3	-2	2	1	1	1	-1	-2	2	48.21584	47.27691	47.93505	48.84189	50.74172	49.23468	54.84595	60.83615	56.62788	51.87083	51.84548	51.19133	51.6693	50.88866	50.88866	47.10364	44.21863	46.46222	47.15069	48.54375	48.54375	48.36717	46.41232	48.97769	0.1352	-0.2726	0.2068	-0.196	-0.2314	-0.14	0.21125	0.5429	0.18135	0.126	0.255	-0.2422	3	3	3	4	4	4	4	4	4	4	5	4	28366650	2020.09.08 06:10:07	buy	0.10	audjpy	77.352	77.573	77.723	2020.09.08 09:10:31	77.573	2210
20	28366667	2020.09.08 06:15:00	77.36199999999999	77.36199999999999	77.33799999999999	77.318	77.331	77.33499999999999	77.343	77.343	77.342	77.331	77.34399999999999	77.34999999999999	-1	1	-1	-1	1	1	1	1	-1	-1	1	1	-0.005	0	-0.021	-0.019	0.013	0.004	0.007	0.001	-0.003	-0.012	0.014	0.007	-1	-1	-3	-2	2	1	1	1	-1	-2	2	1	47.27691	47.93505	48.84189	50.74172	49.23468	54.84595	60.83615	56.62788	51.87083	51.84548	51.19133	50.3727	50.88866	50.88866	47.10364	44.21863	46.46222	47.15069	48.54375	48.54375	48.36717	46.41232	48.97769	50.13739	-0.2726	0.2068	-0.196	-0.2314	-0.14	0.21125	0.5429	0.18135	0.126	0.255	-0.2422	-0.07140000000000001	3	3	4	4	4	4	4	4	4	5	4	3	28366667	2020.09.08 06:15:01	buy	0.10	audjpy	77.357	77.299	77.449	2020.09.08 07:34:40	77.299	-580
21	28366697	2020.09.08 06:20:00	77.36199999999999	77.33799999999999	77.318	77.331	77.33499999999999	77.343	77.343	77.342	77.331	77.34399999999999	77.34999999999999	77.363	1	-1	-1	1	1	1	1	-1	-1	1	1	1	0	-0.021	-0.019	0.013	0.004	0.007	0.001	-0.003	-0.012	0.014	0.007	0.014	-1	-3	-2	2	1	1	1	-1	-2	2	1	2	47.93505	48.84189	50.74172	49.23468	54.84595	60.83615	56.62788	51.87083	51.84548	51.19133	50.3727	56.17717	50.88866	47.10364	44.21863	46.46222	47.15069	48.54375	48.54375	48.36717	46.41232	48.97769	50.13739	52.5948	0.2068	-0.196	-0.2314	-0.14	0.21125	0.5429	0.18135	0.126	0.255	-0.2422	-0.07140000000000001	0.1564	3	4	4	4	4	4	4	4	5	4	3	2	28366697	2020.09.08 06:20:19	buy	0.10	audjpy	77.367	77.313	77.463	2020.09.08 07:28:37	77.313	-540
22	28366752	2020.09.08 06:25:00	77.33799999999999	77.318	77.331	77.33499999999999	77.343	77.343	77.342	77.331	77.34399999999999	77.34999999999999	77.363	77.363	-1	-1	1	1	1	1	-1	-1	1	1	1	1	-0.021	-0.019	0.013	0.004	0.007	0.001	-0.003	-0.012	0.014	0.007	0.014	0	-3	-2	2	1	1	1	-1	-2	2	1	2	-1	48.84189	50.74172	49.23468	54.84595	60.83615	56.62788	51.87083	51.84548	51.19133	50.3727	56.17717	60.89893	47.10364	44.21863	46.46222	47.15069	48.54375	48.54375	48.36717	46.41232	48.97769	50.13739	52.5948	52.5948	-0.196	-0.2314	-0.14	0.21125	0.5429	0.18135	0.126	0.255	-0.2422	-0.07140000000000001	0.1564	0.1475	4	4	4	4	4	4	4	5	4	3	2	2	28366752	2020.09.08 06:25:03	buy	0.10	audjpy	77.372	77.314	77.464	2020.09.08 07:28:37	77.314	-580
23	28366799	2020.09.08 06:30:00	77.318	77.331	77.33499999999999	77.343	77.343	77.342	77.331	77.34399999999999	77.34999999999999	77.363	77.363	77.348	-1	1	1	1	1	-1	-1	1	1	1	1	-1	-0.019	0.013	0.004	0.007	0.001	-0.003	-0.012	0.014	0.007	0.014	0	-0.016	-2	2	1	1	1	-1	-2	2	1	2	-1	-2	50.74172	49.23468	54.84595	60.83615	56.62788	51.87083	51.84548	51.19133	50.3727	56.17717	60.89893	54.73166	44.21863	46.46222	47.15069	48.54375	48.54375	48.36717	46.41232	48.97769	50.13739	52.5948	52.5948	49.47727	-0.2314	-0.14	0.21125	0.5429	0.18135	0.126	0.255	-0.2422	-0.07140000000000001	0.1564	0.1475	-0.1242	4	4	4	4	4	4	5	4	3	2	2	4	28366799	2020.09.08 06:30:02	buy	0.10	audjpy	77.359	77.301	77.451	2020.09.08 07:34:39	77.301	-580
24	28366924	2020.09.08 06:35:00	77.331	77.33499999999999	77.343	77.343	77.342	77.331	77.34399999999999	77.34999999999999	77.363	77.363	77.348	77.351	1	1	1	1	-1	-1	1	1	1	1	-1	1	0.013	0.004	0.007	0.001	-0.003	-0.012	0.014	0.007	0.014	0	-0.016	0	2	1	1	1	-1	-2	2	1	2	-1	-2	-1	49.23468	54.84595	60.83615	56.62788	51.87083	51.84548	51.19133	50.3727	56.17717	60.89893	54.73166	48.15446	46.46222	47.15069	48.54375	48.54375	48.36717	46.41232	48.97769	50.13739	52.5948	52.5948	49.47727	50.09997	-0.14	0.21125	0.5429	0.18135	0.126	0.255	-0.2422	-0.07140000000000001	0.1564	0.1475	-0.1242	-0.009849999999999999	4	4	4	4	4	5	4	3	2	2	4	3	28366924	2020.09.08 06:35:02	buy	0.10	audjpy	77.360	77.302	77.452	2020.09.08 07:34:39	77.302	-580
25	28367009	2020.09.08 06:40:00	77.33499999999999	77.343	77.343	77.342	77.331	77.34399999999999	77.34999999999999	77.363	77.363	77.348	77.351	77.355	1	1	1	-1	-1	1	1	1	1	-1	1	1	0.004	0.007	0.001	-0.003	-0.012	0.014	0.007	0.014	0	-0.016	0	0.003	1	1	1	-1	-2	2	1	2	-1	-2	-1	1	54.84595	60.83615	56.62788	51.87083	51.84548	51.19133	50.3727	56.17717	60.89893	54.73166	48.15446	54.61527	47.15069	48.54375	48.54375	48.36717	46.41232	48.97769	50.13739	52.5948	52.5948	49.47727	50.09997	50.94848	0.21125	0.5429	0.18135	0.126	0.255	-0.2422	-0.07140000000000001	0.1564	0.1475	-0.1242	-0.009849999999999999	-0.0332	4	4	4	4	5	4	3	2	2	4	3	3	28367009	2020.09.08 06:40:03	buy	0.10	audjpy	77.364	77.306	77.456	2020.09.08 07:28:46	77.306	-580
